protein1	protein2
P84085	Q10567
P84085	P63010
P84085	P51649
P84085	O43739
P84085	Q9Y617
P84085	O75154
P84085	Q9UJY5
P84085	Q99459
P84085	Q15366
P84085	Q6ZMR3
P84085	P84077
P84085	Q99418
P84085	Q96EP5
P84085	O43150
P84085	P00338
P84085	P62491
P84085	Q9UJY4
P84085	Q9BYZ2
P84085	P61020
P84085	Q15438
P84085	P53367
P84085	Q86YS3
P84085	O00203
P84085	Q99755
P84085	P07864
P84085	Q96CS3
P84085	P13804
P84085	O43747
Q10567	Q15311
Q10567	Q9Y478
Q10567	Q9Y6Q5
Q10567	Q10589
Q10567	P61204
Q10567	Q92793
Q10567	P53680
Q10567	O14986
Q10567	Q13315
Q10567	Q9UKG1
Q10567	Q96CW1
Q10567	P62330
Q10567	P18085
Q10567	Q07960
Q10567	P36575
Q10567	P78527
Q10567	O94973
Q10567	Q9NSY1
Q10567	P61966
Q10567	Q8IVW1
Q10567	P22314
Q10567	Q9NR81
Q10567	Q13535
Q10567	Q8TBX8
Q10567	Q7Z628
Q10567	Q9NZM3
Q10567	P49418
Q10567	Q5SW96
Q10567	Q15811
Q10567	Q9Y6I3
Q10567	Q8NEU8
Q10567	Q9NY64
Q10567	Q5T9C9
Q10567	Q9BXS5
Q10567	Q96PC3
Q10567	Q99459
Q10567	Q9UBP9
Q10567	Q96D71
Q10567	P84077
Q10567	Q59EK9
Q10567	O60331
Q10567	Q9NVZ3
Q10567	O75369
Q10567	P78356
Q10567	P42566
Q10567	P48426
Q10567	Q2M2I8
Q10567	O95782
Q10567	P10523
Q10567	Q8N1W1
Q10567	Q99755
Q10567	P32121
Q10567	P49407
Q10567	O43747
P63010	Q15311
P63010	Q9Y6Q5
P63010	P61204
P63010	Q9Y376
P63010	P53680
P63010	O14986
P63010	Q9UKG1
P63010	Q96CW1
P63010	P02461
P63010	P18085
P63010	P09497
P63010	P36575
P63010	O14976
P63010	Q8N6T3
P63010	O94973
P63010	Q9NSY1
P63010	P61966
P63010	Q8IVW1
P63010	Q9NR81
P63010	Q9P0L0
P63010	Q9UKX7
P63010	Q8TBX8
P63010	Q7Z628
P63010	Q9NZM3
P63010	P49418
P63010	P37173
P63010	O95782
P63010	Q99755
P63010	P42566
P63010	Q9NY64
P63010	Q5SW96
P63010	P36897
P63010	P48426
P63010	Q15811
P63010	Q9HC77
P63010	Q5T9C9
P63010	Q9Y5X1
P63010	Q13492
P63010	O43747
P63010	Q9UBP9
P63010	P10523
P63010	Q2M2I8
P63010	Q9BXS5
P63010	Q9NVZ3
P63010	Q96D71
P63010	P32121
P63010	P49407
P63010	O96008
P63010	Q59EK9
P63010	P84077
P63010	Q8N1W1
P63010	Q8NEU8
P63010	P49757
P63010	O60331
P63010	P78356
P51649	Q99798
P51649	P11172
P51649	P21796
P51649	P07954
P51649	P14618
P51649	P30837
P51649	Q9BV57
