unip	degree	type
Q92793	0.016290410197657673	"Cancer
driver"
Q13315	0.0005093838264576944	"Cancer
driver"
P43246	0.0014871635101044453	"Cancer
driver"
P52701	0.00023188250417673545	"Cancer
driver"
O75376	0.0021202529300797085	"Cancer
driver"
Q01081	0.00028409548319557204	"Cancer
driver"
O14497	0.00012262962599816188	"Cancer
driver"
P30153	0.006458881192524257	"Cancer
driver"
O75533	0.0010991878067374843	"Cancer
driver"
Q6P1J9	0.0006562742845068324	"Cancer
driver"
P42771	0.0012336354609575292	"Cancer
driver"
Q01130	0.0003222610622366852	"Cancer
driver"
P51532	0.004322998744644867	"Cancer
driver"
Q96AE4	0.0006250838256174035	"Cancer
driver"
P06748	0.0013251378840155052	"Cancer
driver"
O75874	0.00022786088188445525	"Cancer
driver"
P25054	0.0016132998748083337	"Cancer
driver"
Q9BYW2	0.0011015435345343393	"Cancer
driver"
Q09472	0.014426230808996592	"Cancer
driver"
Q969H0	0.0007704755233298198	"Cancer
driver"
P00533	0.017528858416317943	"Cancer
driver"
P31749	0.010665182216311374	"Cancer
driver"
P52333	0.0001606057692922937	"Cancer
driver"
P23458	0.00271762956773145	"Cancer
driver"
P27986	0.005255255438233915	"Cancer
driver"
P04637	0.012977131889537677	"Cancer
driver"
P60484	0.0023365976137307647	"Cancer
driver"
P12830	0.0013000950937781808	"Cancer
driver"
P00519	0.00598018460100006	"Cancer
driver"
P04626	0.0011451423057287668	"Cancer
driver"
P08581	0.0009003260236716515	"Cancer
driver"
Q15831	0.0006170396199340531	"Cancer
driver"
O60674	0.0035921584797864946	"Cancer
driver"
P10275	0.0054170593187403675	"Cancer
driver"
Q5JWF2	0.0015078735269763203	"Cancer
driver"
Q15796	0.0016246964145465062	"Cancer
driver"
P35222	0.016015151042832375	"Cancer
driver"
P21359	0.00023589861203292332	"Cancer
driver"
P35240	0.00034617272457560335	"Cancer
driver"
Q92574	0.0008818641189237666	"Cancer
driver"
P21802	0.001700369143214196	"Cancer
driver"
O15169	0.003900775165453215	"Cancer
driver"
P23771	0.00022427992870074537	"Cancer
driver"
P23769	0.00028158691141124656	"Cancer
driver"
P22681	0.005892025096133802	"Cancer
driver"
P26358	0.0003830078390158555	"Cancer
driver"
P15976	0.0010186437650080433	"Cancer
driver"
Q9NQC7	0.00015709572756554248	"Cancer
driver"
Q92560	0.0008197711853506172	"Cancer
driver"
P38398	0.011330469818361787	"Cancer
driver"
P21580	0.0009459008493366121	"Cancer
driver"
P06400	0.0027862930470327614	"Cancer
driver"
Q93074	0.0005942940831812171	"Cancer
driver"
P51587	0.0003303493675287061	"Cancer
driver"
Q6Q0C0	1.8940708387859166e-05	"Cancer
driver"
P01112	0.002816619488674554	"Cancer
driver"
P50148	0.0026358245161076273	"Cancer
driver"
Q14790	0.001778250129546278	"Cancer
driver"
P01116	0.0009580181941794176	"Cancer
driver"
P01111	0.0002398815011145964	"Cancer
driver"
P42336	0.000529627163964772	"Cancer
driver"
Q02750	0.0008052493148649941	"Cancer
driver"
Q13635	0.0002685354322415079	"Cancer
driver"
Q13485	0.00137354467513492	"Cancer
driver"
Q68DV7	0.00039016721351356763	"Cancer
driver"
P10721	0.00034004652419506424	"Cancer
driver"
O15524	0.0003779174654936087	"Cancer
driver"
Q15910	0.0012891392690382668	"Cancer
driver"
Q13233	0.0005348828209888883	"Cancer
driver"
Q8IWS0	3.078885382252949e-05	"Cancer
driver"
P29992	0.0004012676882993178	"Cancer
driver"
Q99835	0.0001387202865078737	"Cancer
driver"
O15550	0.0008711447960403492	"Cancer
driver"
P07333	0.0004128968177659644	"Cancer
driver"
Q06124	0.003514775646287428	"Cancer
driver"
Q9Y6K1	0.0001740324090246146	"Cancer
driver"
P46100	0.00046272566849262815	"Cancer
driver"
P41229	0.0004901645611437312	"Cancer
driver"
P49715	0.00017259671591582623	"Cancer
driver"
P07949	0.0019061834774430674	"Cancer
driver"
P36896	0.0003787046677077868	"Cancer
driver"
P16234	0.0013195446412296887	"Cancer
driver"
P36888	0.0003326962183748079	"Cancer
driver"
P22607	0.0003242339808564456	"Cancer
driver"
Q9UM73	0.0002164421706601939	"Cancer
driver"
P40692	0.00045561982047322445	"Cancer
driver"
Q9UER7	0.0006848756974835704	"Cancer
driver"
P48436	0.0002586260966701345	"Cancer
driver"
O43791	0.0008642811204921417	"Cancer
driver"
P10415	0.0012462500857443016	"Cancer
driver"
Q9BXL7	1.2874428349280492e-06	"Cancer
driver"
Q8N3U4	4.221223109736675e-05	"Cancer
driver"
Q04721	0.0017193137345074278	"Cancer
driver"
Q16236	0.0003877640802433574	"Cancer
driver"
Q8NEZ4	4.444925048554742e-05	"Cancer
driver"
O00255	0.0001246199421207551	"Cancer
driver"
O14686	6.189341424609484e-05	"Cancer
driver"
Q68CP9	4.414999732671758e-06	"Cancer
driver"
Q86U86	6.722555270355876e-05	"Cancer
driver"
O43474	0.0001179809803540249	"Cancer
driver"
Q01196	0.0009917959781290727	"Cancer
driver"
Q96RK0	4.424249048364708e-05	"Cancer
driver"
P40337	0.0009418872535805314	"Cancer
driver"
Q02548	2.1321017385094105e-05	"Cancer
driver"
P48735	3.335997997755804e-05	"Cancer
driver"
Q8IXJ9	2.273242991879793e-06	"Cancer
driver"
Q6W2J9	0.00013855811747437175	"Cancer
driver"
P40238	0.0	"Cancer
driver"
Q9HC73	0.00010332235699215116	"Cancer
driver"
O75626	0.0	"Cancer
driver"
Q10567	0.002535972562327129	"Mendelian
disease"
P51649	0.00011099002899475157	"Mendelian
disease"
Q9Y617	0.00017302508490360673	"Mendelian
disease"
P84077	0.002783635386936747	"Mendelian
disease"
P00338	0.00035280129280951565	"Mendelian
disease"
O00203	0.0005470653557111452	"Mendelian
disease"
P13804	0.000871703102721944	"Mendelian
disease"
Q92793	0.016290410197657673	"Mendelian
disease"
P53680	0.00020828458490834302	"Mendelian
disease"
Q13315	0.0005093838264576944	"Mendelian
disease"
Q9UKG1	0.0011700296352722549	"Mendelian
disease"
Q96CW1	0.0008550600198270459	"Mendelian
disease"
P36575	0.00011781838970102136	"Mendelian
disease"
P78527	0.003482045215807002	"Mendelian
disease"
P61966	3.5993718760419576e-05	"Mendelian
disease"
P22314	0.002160739215689113	"Mendelian
disease"
Q13535	0.0013491093038110636	"Mendelian
disease"
Q7Z628	2.987048806009332e-05	"Mendelian
disease"
Q5SW96	3.9048461001738936e-05	"Mendelian
disease"
Q96PC3	1.0314757753749135e-05	"Mendelian
disease"
Q96D71	0.00015330187056288881	"Mendelian
disease"
O60331	0.00029405092086818945	"Mendelian
disease"
O75369	0.0009539054090710871	"Mendelian
disease"
P10523	7.168296466316828e-05	"Mendelian
disease"
P02461	2.6878881541581725e-05	"Mendelian
disease"
P37173	0.0009737604413894966	"Mendelian
disease"
P36897	0.001986422284145522	"Mendelian
disease"
Q9HC77	0.0034665114409792976	"Mendelian
disease"
Q13492	0.001950573013012513	"Mendelian
disease"
Q99798	0.00022082143035246152	"Mendelian
disease"
P11172	0.00039841428981017535	"Mendelian
disease"
P07954	0.000248056088692443	"Mendelian
disease"
P80404	0.0006146904948696145	"Mendelian
disease"
P04179	0.0007183794791936825	"Mendelian
disease"
O94979	0.0003690215604917998	"Mendelian
disease"
Q16719	0.0001684678243808813	"Mendelian
disease"
Q9BUF5	6.535960378177827e-05	"Mendelian
disease"
P37837	0.000814315187785472	"Mendelian
disease"
O95470	4.069113783251328e-05	"Mendelian
disease"
P61960	0.001828482559793745	"Mendelian
disease"
Q15907	0.0023539907410232356	"Mendelian
disease"
Q99523	0.00023225180842198105	"Mendelian
disease"
P05067	0.005526740528439397	"Mendelian
disease"
P11717	9.14025727333049e-05	"Mendelian
disease"
P31751	0.0005214303811914703	"Mendelian
disease"
P82251	8.164096130229235e-05	"Mendelian
disease"
Q15645	0.00201609162542628	"Mendelian
disease"
P33992	0.0007363163048170259	"Mendelian
disease"
P35579	0.002928989791481861	"Mendelian
disease"
Q9H4B7	2.547123948382029e-05	"Mendelian
disease"
Q9BQL6	2.6754372108392634e-05	"Mendelian
disease"
Q9Y5N6	2.2737855210173433e-05	"Mendelian
disease"
Q9BQ65	0.0003242087404063134	"Mendelian
disease"
Q7Z333	2.366597254951639e-05	"Mendelian
disease"
Q9UKB3	2.39595804427811e-05	"Mendelian
disease"
Q96KP1	0.0007055615046030567	"Mendelian
disease"
O75694	0.0004711892129470846	"Mendelian
disease"
P43246	0.0014871635101044453	"Mendelian
disease"
P49279	0.00011581885923138132	"Mendelian
disease"
P52701	0.00023188250417673545	"Mendelian
disease"
Q13148	0.0006607410976535921	"Mendelian
disease"
Q15003	0.00010459458521963504	"Mendelian
disease"
P68366	0.0020524460537134546	"Mendelian
disease"
P04792	0.0038282750679355933	"Mendelian
disease"
P53618	0.0008021094991466477	"Mendelian
disease"
P23258	0.0016812769817193855	"Mendelian
disease"
P41091	0.0003728793145269965	"Mendelian
disease"
P35637	0.0005820714813894209	"Mendelian
disease"
Q96G30	0.00010240296773545018	"Mendelian
disease"
Q9BVA1	0.001225899193477858	"Mendelian
disease"
P52732	0.0002459958600102769	"Mendelian
disease"
P33991	0.0006722904624221656	"Mendelian
disease"
P48444	0.00034632015834427314	"Mendelian
disease"
O60934	0.00023050029406480546	"Mendelian
disease"
Q9NQW6	0.00011185476738828397	"Mendelian
disease"
P51531	0.0008101466267512661	"Mendelian
disease"
O94906	0.000961286752225011	"Mendelian
disease"
Q8TAQ2	0.0008799366667528492	"Mendelian
disease"
Q92620	0.00041572036732855707	"Mendelian
disease"
Q15427	0.0006561404736691743	"Mendelian
disease"
Q8NB90	0.00040204252139738	"Mendelian
disease"
Q15233	0.00029947906474533085	"Mendelian
disease"
P48643	0.0016759396309537526	"Mendelian
disease"
P12235	0.00018933687358379695	"Mendelian
disease"
Q6KC79	0.00011944844009152992	"Mendelian
disease"
P49792	0.0011394631723096885	"Mendelian
disease"
O95347	0.00022163411918032632	"Mendelian
disease"
O60566	0.0005040729430205793	"Mendelian
disease"
Q96RE7	4.79821167443979e-05	"Mendelian
disease"
P04628	0.0013642186017968256	"Mendelian
disease"
Q8TAD8	0.0011378947158059483	"Mendelian
disease"
Q14191	0.00042298695498029843	"Mendelian
disease"
P06681	0.001392038340710425	"Mendelian
disease"
Q9H211	0.00022190626176657333	"Mendelian
disease"
O43683	0.0006636151706071555	"Mendelian
disease"
P35221	0.0011711355260832722	"Mendelian
disease"
O15297	7.253619867710178e-06	"Mendelian
disease"
Q9ULM3	0.000366160114508978	"Mendelian
disease"
P26373	0.0006452832978458033	"Mendelian
disease"
Q9NVI1	5.017888779713153e-05	"Mendelian
disease"
O43395	0.0009048804965600688	"Mendelian
disease"
Q92997	0.0005717937280386436	"Mendelian
disease"
O75643	0.00270121591064704	"Mendelian
disease"
O14497	0.00012262962599816188	"Mendelian
disease"
A5YKK6	0.0019627292787472795	"Mendelian
disease"
P57678	5.368419252943414e-05	"Mendelian
disease"
Q14683	0.0007256172432110991	"Mendelian
disease"
Q15149	0.0028759732834092774	"Mendelian
disease"
Q969G3	0.00035051037268877654	"Mendelian
disease"
P30153	0.006458881192524257	"Mendelian
disease"
Q15021	0.00012485639334107912	"Mendelian
disease"
P49959	0.00042974010468522475	"Mendelian
disease"
A6NHR9	0.0001146066563797164	"Mendelian
disease"
Q9H267	0.0010281885527239785	"Mendelian
disease"
P35606	0.0004540759135701457	"Mendelian
disease"
Q9UPT5	0.0005975117143741619	"Mendelian
disease"
O75533	0.0010991878067374843	"Mendelian
disease"
Q92888	0.00016451876625153737	"Mendelian
disease"
Q9HD15	9.838895929826564e-05	"Mendelian
disease"
P07437	0.002192904895800319	"Mendelian
disease"
Q9H1A4	0.00014303302433781837	"Mendelian
disease"
O60443	0.0	"Mendelian
disease"
P68371	0.0006040319950997937	"Mendelian
disease"
P08237	0.000855488264501225	"Mendelian
disease"
Q70HW3	0.00013438182819925295	"Mendelian
disease"
Q9BTA9	4.0310483727852535e-06	"Mendelian
disease"
O00232	0.0006153039290195765	"Mendelian
disease"
Q9GZZ9	0.0005061564634756649	"Mendelian
disease"
Q14204	0.0009841408163981853	"Mendelian
disease"
Q9H4L7	3.1730976789222006e-05	"Mendelian
disease"
Q6P3W7	0.00014638524303929972	"Mendelian
disease"
Q9UQE7	0.0015032434766933881	"Mendelian
disease"
Q92974	0.00012409445937944027	"Mendelian
disease"
Q7Z4S6	6.856617713536514e-05	"Mendelian
disease"
Q6P1J9	0.0006562742845068324	"Mendelian
disease"
P53621	0.00014080350050343067	"Mendelian
disease"
P02545	0.0007430296185329725	"Mendelian
disease"
O60508	0.00012174667057253857	"Mendelian
disease"
Q8IYB5	0.0	"Mendelian
disease"
P38159	0.00044566152826046676	"Mendelian
disease"
O15541	8.852441633631229e-05	"Mendelian
disease"
P42771	0.0012336354609575292	"Mendelian
disease"
O43929	7.74809694241209e-05	"Mendelian
disease"
Q6P2Q9	0.002336488959361843	"Mendelian
disease"
Q96T58	5.572405991515957e-05	"Mendelian
disease"
P11388	0.0004956946470753402	"Mendelian
disease"
Q14764	0.00013664547309864242	"Mendelian
disease"
Q9HAN9	0.00021381377776247317	"Mendelian
disease"
P61978	0.0009361677484801474	"Mendelian
disease"
P63162	0.0003590563810695786	"Mendelian
disease"
P62304	0.0007485062669567673	"Mendelian
disease"
Q16637	0.000525577747269601	"Mendelian
disease"
Q15637	0.0007123405791343243	"Mendelian
disease"
Q92878	0.0006577011043224746	"Mendelian
disease"
P46459	0.003957354414216545	"Mendelian
disease"
P19013	1.6824159911082436e-05	"Mendelian
disease"
P14678	0.00038291343680694513	"Mendelian
disease"
Q96LL9	0.00012932988391817145	"Mendelian
disease"
Q15029	0.003124563526613074	"Mendelian
disease"
Q9H3U1	0.00039534283660457275	"Mendelian
disease"
Q9H6S3	1.8113199224730748e-05	"Mendelian
disease"
O95239	0.00010767239803376229	"Mendelian
disease"
P43034	0.0015000492066506697	"Mendelian
disease"
Q9Y5S9	0.0007628048295794176	"Mendelian
disease"
O60341	0.0018305504139833847	"Mendelian
disease"
Q9H2P0	1.804793142534035e-05	"Mendelian
disease"
P08670	0.0013850164989331654	"Mendelian
disease"
Q7L590	0.00032831498457093716	"Mendelian
disease"
Q8N201	0.0008318526755589971	"Mendelian
disease"
Q9HCK8	0.000531034697396707	"Mendelian
disease"
Q9BSJ2	0.0008044909927863162	"Mendelian
disease"
Q13415	0.00015220086772298346	"Mendelian
disease"
Q9Y2G2	7.656503430690909e-05	"Mendelian
disease"
Q13813	0.0019325148126148797	"Mendelian
disease"
Q13885	0.0007079634688598894	"Mendelian
disease"
P17980	0.0009464098170672739	"Mendelian
disease"
P41212	0.0003071486963103708	"Mendelian
disease"
P10809	0.002157418300835953	"Mendelian
disease"
Q9Y3C6	0.0002513813328800624	"Mendelian
disease"
P50570	0.001817603057309828	"Mendelian
disease"
P61011	0.0006948963234045191	"Mendelian
disease"
P11413	0.0009679157187394208	"Mendelian
disease"
O43561	0.0005366911061340965	"Mendelian
disease"
Q9Y6D9	0.00010442210179567048	"Mendelian
disease"
Q6NUK1	8.788703822626114e-05	"Mendelian
disease"
O60231	0.0001380802822128681	"Mendelian
disease"
Q96GM5	0.0007705309002452592	"Mendelian
disease"
Q96LT9	3.9155698689938446e-05	"Mendelian
disease"
Q8NA29	0.0	"Mendelian
disease"
P28340	0.0002831156851391562	"Mendelian
disease"
Q92804	0.00013044234140866207	"Mendelian
disease"
Q9H2I8	0.0019237997525008855	"Mendelian
disease"
O00429	0.0007219313484132423	"Mendelian
disease"
P51532	0.004322998744644867	"Mendelian
disease"
P15924	0.00017185822949559738	"Mendelian
disease"
Q14980	0.00020461814532942625	"Mendelian
disease"
Q9BZK7	0.00018354558559714675	"Mendelian
disease"
Q6UX04	0.00013191878113867587	"Mendelian
disease"
Q8WU79	0.0001481542408330802	"Mendelian
disease"
Q8N5F7	0.0007494148441512441	"Mendelian
disease"
Q9BWD1	0.00041012428910393013	"Mendelian
disease"
P31483	0.00013802588858961222	"Mendelian
disease"
P07339	0.0006684788249695718	"Mendelian
disease"
P05091	5.965027379776481e-05	"Mendelian
disease"
Q00796	0.0001359500293255453	"Mendelian
disease"
Q9Y281	0.0002796704256880098	"Mendelian
disease"
P30038	0.0001960989781244262	"Mendelian
disease"
P40925	0.0001645414534512907	"Mendelian
disease"
O14653	7.349155974270145e-05	"Mendelian
disease"
Q9UPM8	0.0002612778086565845	"Mendelian
disease"
P06748	0.0013251378840155052	"Mendelian
disease"
P06213	0.0033674118043707704	"Mendelian
disease"
Q86SX6	5.1578472844364215e-05	"Mendelian
disease"
Q13393	0.00015706939954959244	"Mendelian
disease"
O00189	0.00015310647598861654	"Mendelian
disease"
P22694	0.0005956859875845125	"Mendelian
disease"
Q14232	0.0018899297222857083	"Mendelian
disease"
Q14376	0.0003260250287853742	"Mendelian
disease"
Q13367	0.0003893744078326611	"Mendelian
disease"
Q9Y487	0.001761786865370548	"Mendelian
disease"
Q9NR45	4.2806396534442526e-05	"Mendelian
disease"
P07737	0.0003803876038369185	"Mendelian
disease"
P50454	5.645967220964607e-05	"Mendelian
disease"
P55263	0.00016444743744822155	"Mendelian
disease"
P15559	0.0001021329641354347	"Mendelian
disease"
Q9NTZ6	1.6199646520561945e-06	"Mendelian
disease"
Q92904	3.6567870295710706e-06	"Mendelian
disease"
O75874	0.00022786088188445525	"Mendelian
disease"
P63000	0.006403383145798327	"Mendelian
disease"
P34949	0.00013043272850105369	"Mendelian
disease"
P25054	0.0016132998748083337	"Mendelian
disease"
Q96B97	0.002019470291479181	"Mendelian
disease"
O95996	0.00037535020719931347	"Mendelian
disease"
P12955	0.00010026250273988184	"Mendelian
disease"
