unip	degree	type
Q92793	0.308803099622247	"Cancer
driver"
Q13315	0.27279439440379766	"Cancer
driver"
P43246	0.27839210969168643	"Cancer
driver"
P52701	0.27048194533994263	"Cancer
driver"
O75376	0.28347646653961056	"Cancer
driver"
Q01081	0.2671284792102002	"Cancer
driver"
O14497	0.2708792375819028	"Cancer
driver"
P30153	0.28986539188507	"Cancer
driver"
O75533	0.28448446192354626	"Cancer
driver"
Q6P1J9	0.2732259552316469	"Cancer
driver"
P42771	0.28254894220026155	"Cancer
driver"
Q01130	0.26665712222306326	"Cancer
driver"
P51532	0.29757082497442566	"Cancer
driver"
Q96AE4	0.26969753160791876	"Cancer
driver"
P06748	0.2785203812826978	"Cancer
driver"
O75874	0.23644907784492414	"Cancer
driver"
P25054	0.2708590081200337	"Cancer
driver"
Q9BYW2	0.28268107389233516	"Cancer
driver"
Q09472	0.30868920832926333	"Cancer
driver"
Q969H0	0.27509107312188386	"Cancer
driver"
P00533	0.3088819966839798	"Cancer
driver"
P31749	0.3117136657076111	"Cancer
driver"
P52333	0.25044140347074234	"Cancer
driver"
P23458	0.2701864174018493	"Cancer
driver"
P27986	0.2900431096441295	"Cancer
driver"
P04637	0.31509881599692663	"Cancer
driver"
P60484	0.28737724407558696	"Cancer
driver"
P12830	0.2743558136914666	"Cancer
driver"
P00519	0.2991827214911426	"Cancer
driver"
P04626	0.28335834826922246	"Cancer
driver"
P08581	0.2740655705193792	"Cancer
driver"
Q15831	0.2677397872779811	"Cancer
driver"
O60674	0.2835577299903543	"Cancer
driver"
P10275	0.29692119566625386	"Cancer
driver"
Q5JWF2	0.25566702418322934	"Cancer
driver"
Q15796	0.28266638649078724	"Cancer
driver"
P35222	0.3035649140749902	"Cancer
driver"
P21359	0.2540255694252066	"Cancer
driver"
P35240	0.25021679234655336	"Cancer
driver"
Q92574	0.25221198431167274	"Cancer
driver"
P21802	0.2559316275859687	"Cancer
driver"
O15169	0.29067072409878647	"Cancer
driver"
