unip	degree	type
Q92793	211.0	"Cancer
driver"
Q13315	42.0	"Cancer
driver"
P43246	61.0	"Cancer
driver"
P52701	27.0	"Cancer
driver"
O75376	73.99999999999999	"Cancer
driver"
Q01081	39.0	"Cancer
driver"
O14497	23.999999999999996	"Cancer
driver"
P30153	105.0	"Cancer
driver"
O75533	119.0	"Cancer
driver"
Q6P1J9	22.0	"Cancer
driver"
P42771	39.0	"Cancer
driver"
Q01130	23.0	"Cancer
driver"
P51532	99.99999999999999	"Cancer
driver"
Q96AE4	27.999999999999996	"Cancer
driver"
P06748	36.0	"Cancer
driver"
O75874	11.999999999999998	"Cancer
driver"
P25054	39.0	"Cancer
driver"
Q9BYW2	29.0	"Cancer
driver"
Q09472	217.99999999999997	"Cancer
driver"
Q969H0	35.0	"Cancer
driver"
P00533	163.0	"Cancer
driver"
P31749	133.0	"Cancer
driver"
P52333	17.0	"Cancer
driver"
P23458	36.0	"Cancer
driver"
P27986	89.0	"Cancer
driver"
P04637	153.0	"Cancer
driver"
P60484	42.0	"Cancer
driver"
P12830	34.0	"Cancer
driver"
P00519	84.0	"Cancer
driver"
P04626	51.0	"Cancer
driver"
P08581	30.999999999999996	"Cancer
driver"
Q15831	23.0	"Cancer
driver"
O60674	57.0	"Cancer
driver"
P10275	89.0	"Cancer
driver"
Q5JWF2	29.0	"Cancer
driver"
Q15796	55.99999999999999	"Cancer
driver"
P35222	160.0	"Cancer
driver"
P21359	6.999999999999999	"Cancer
driver"
P35240	15.0	"Cancer
driver"
Q92574	16.0	"Cancer
driver"
P21802	33.0	"Cancer
driver"
O15169	64.0	"Cancer
driver"
P23771	22.0	"Cancer
driver"
P23769	17.0	"Cancer
driver"
P22681	101.0	"Cancer
driver"
P26358	33.0	"Cancer
driver"
P15976	29.0	"Cancer
driver"
Q9NQC7	20.0	"Cancer
driver"
Q92560	21.0	"Cancer
driver"
P38398	188.99999999999997	"Cancer
driver"
P21580	27.999999999999996	"Cancer
driver"
P06400	84.0	"Cancer
driver"
Q93074	46.99999999999999	"Cancer
driver"
P51587	20.0	"Cancer
driver"
Q6Q0C0	6.999999999999999	"Cancer
driver"
P01112	68.0	"Cancer
driver"
P50148	43.0	"Cancer
driver"
Q14790	54.0	"Cancer
driver"
P01116	30.999999999999996	"Cancer
driver"
P01111	23.0	"Cancer
driver"
P42336	35.0	"Cancer
driver"
Q02750	35.0	"Cancer
driver"
Q13635	10.0	"Cancer
driver"
Q13485	46.0	"Cancer
driver"
Q68DV7	5.999999999999999	"Cancer
driver"
P10721	32.0	"Cancer
driver"
O15524	21.0	"Cancer
driver"
Q15910	46.0	"Cancer
driver"
Q13233	34.0	"Cancer
driver"
Q8IWS0	6.999999999999999	"Cancer
driver"
P29992	23.999999999999996	"Cancer
driver"
Q99835	5.0	"Cancer
driver"
O15550	27.999999999999996	"Cancer
driver"
P07333	15.0	"Cancer
driver"
Q06124	86.0	"Cancer
driver"
Q9Y6K1	10.0	"Cancer
driver"
P46100	33.0	"Cancer
driver"
P41229	20.0	"Cancer
driver"
P49715	30.0	"Cancer
driver"
P07949	39.0	"Cancer
driver"
P36896	21.0	"Cancer
driver"
P16234	20.0	"Cancer
driver"
P36888	11.999999999999998	"Cancer
driver"
P22607	21.0	"Cancer
driver"
Q9UM73	13.999999999999998	"Cancer
driver"
P40692	24.999999999999996	"Cancer
driver"
Q9UER7	38.0	"Cancer
driver"
P48436	8.0	"Cancer
driver"
O43791	23.0	"Cancer
driver"
P10415	36.99999999999999	"Cancer
driver"
Q9BXL7	5.0	"Cancer
driver"
Q8N3U4	13.999999999999998	"Cancer
driver"
Q04721	26.0	"Cancer
driver"
Q16236	18.0	"Cancer
driver"
Q8NEZ4	11.0	"Cancer
driver"
O00255	13.999999999999998	"Cancer
driver"
O14686	11.999999999999998	"Cancer
driver"
Q68CP9	13.0	"Cancer
driver"
Q86U86	26.0	"Cancer
driver"
O43474	15.0	"Cancer
driver"
Q01196	35.0	"Cancer
driver"
Q96RK0	4.0	"Cancer
driver"
P40337	27.999999999999996	"Cancer
driver"
Q02548	10.0	"Cancer
driver"
P48735	5.999999999999999	"Cancer
driver"
Q8IXJ9	2.9999999999999996	"Cancer
driver"
Q6W2J9	23.0	"Cancer
driver"
P40238	2.0	"Cancer
driver"
Q9HC73	2.9999999999999996	"Cancer
driver"
O75626	1.0	"Cancer
driver"
Q10567	55.0	"Mendelian
disease"
P51649	13.0	"Mendelian
disease"
Q9Y617	13.0	"Mendelian
disease"
P84077	57.0	"Mendelian
disease"
P00338	19.0	"Mendelian
disease"
O00203	22.0	"Mendelian
disease"
P13804	26.0	"Mendelian
disease"
Q92793	211.0	"Mendelian
disease"
P53680	23.999999999999996	"Mendelian
disease"
Q13315	42.0	"Mendelian
disease"
Q9UKG1	29.0	"Mendelian
disease"
Q96CW1	36.0	"Mendelian
disease"
P36575	8.0	"Mendelian
disease"
P78527	68.0	"Mendelian
disease"
P61966	10.0	"Mendelian
disease"
