unip	degree	type
Q92793	0.0006394868779190319	"Cancer
driver"
Q13315	0.00014659894346379503	"Cancer
driver"
P43246	0.00043314208896977563	"Cancer
driver"
P52701	0.00018922306105885649	"Cancer
driver"
O75376	0.00022680554706109885	"Cancer
driver"
Q01081	0.0007982746522088985	"Cancer
driver"
O14497	0.00018092802424883226	"Cancer
driver"
P30153	0.00046066086632513657	"Cancer
driver"
O75533	0.007209936374719605	"Cancer
driver"
Q6P1J9	0.0004713826747532855	"Cancer
driver"
P42771	0.0002909812386953775	"Cancer
driver"
Q01130	0.00030829423540063255	"Cancer
driver"
P51532	0.001035145550927924	"Cancer
driver"
Q96AE4	0.0007671810934359959	"Cancer
driver"
P06748	0.004722298200303687	"Cancer
driver"
O75874	2.223329999053122e-05	"Cancer
driver"
P25054	6.13519650945549e-05	"Cancer
driver"
Q9BYW2	0.0003234455888383873	"Cancer
driver"
Q09472	0.0007116654284189048	"Cancer
driver"
Q969H0	0.0006437897178130036	"Cancer
driver"
P00533	0.0010963554022685236	"Cancer
driver"
P31749	0.00041640912923868303	"Cancer
driver"
P52333	3.793863355719898e-05	"Cancer
driver"
P23458	0.0006656029927796873	"Cancer
driver"
P27986	0.000135831821680096	"Cancer
driver"
P04637	0.0029795166540467237	"Cancer
driver"
P60484	0.00032427033626508884	"Cancer
driver"
P12830	8.162493975445625e-05	"Cancer
driver"
P00519	0.0002676650556722514	"Cancer
driver"
P04626	0.00029493838707785465	"Cancer
driver"
P08581	0.0001259947180848024	"Cancer
driver"
Q15831	6.286208020739563e-05	"Cancer
driver"
O60674	0.00016973309504625562	"Cancer
driver"
P10275	0.0002622163149322426	"Cancer
driver"
Q5JWF2	4.7979814960555856e-05	"Cancer
driver"
Q15796	0.00018049952897192332	"Cancer
driver"
P35222	0.00028526149608097174	"Cancer
driver"
P21359	1.917068105308516e-05	"Cancer
driver"
P35240	9.290655722723526e-06	"Cancer
driver"
Q92574	1.3922382424614484e-05	"Cancer
driver"
P21802	4.9356176276999365e-05	"Cancer
driver"
O15169	0.00036276189788383073	"Cancer
driver"
